,Balma,Blagnac,Castanet-Tolosan,Clinique Saint-Jean,Colomiers,Cornebarrieu,Cugnaux,Fonsorbes,Fronton,Frouzins,L'Union,Lèguevin,Muret,Pibrac,Pins-Justaret,Plaisance-du-Touch,Portet-sur-Garonne,Ramonville-Saint-Agne,Saint-Gaudens,Saint-Orens-de-Gameville,Toulouse,Tournefeuille,Villefranche de Lauragais
Balma,0.000,13.375,10.030,382.876,16.352,19.356,17.049,25.622,23.593,18.645,5.506,22.743,22.032,20.115,19.147,19.216,12.769,7.026,69.923,6.461,5.890,17.334,24.437
Blagnac,14.212,0.000,17.662,390.599,7.339,7.381,10.755,16.610,24.172,16.254,11.340,13.731,19.641,11.103,16.756,10.204,13.459,14.456,67.532,16.909,7.493,8.322,32.160
Castanet-Tolosan,9.702,17.955,0.000,381.851,18.206,23.942,16.658,27.476,30.940,14.602,12.860,24.604,21.642,21.969,9.953,21.070,5.221,3.429,69.533,5.360,16.024,19.195,23.405
Clinique Saint-Jean,382.555,390.473,381.991,0.000,390.724,396.461,389.170,399.994,403.793,390.773,385.706,397.123,394.160,394.488,391.275,393.589,384.897,379.217,442.051,380.646,388.543,391.707,361.806
Colomiers,16.533,7.618,17.767,390.703,0.000,4.823,9.138,9.946,26.500,11.995,13.661,7.068,19.746,4.440,16.860,7.047,13.564,14.560,67.637,17.014,8.015,6.705,32.264
Cornebarrieu,18.045,5.618,21.495,394.432,5.471,0.000,14.588,12.692,22.206,14.749,15.174,7.946,23.475,5.416,20.589,9.688,17.293,18.289,71.366,20.743,11.326,12.156,35.993
Cugnaux,17.411,10.831,16.261,389.198,9.500,16.819,0.000,8.294,29.706,3.304,16.867,9.870,12.309,13.264,9.423,4.405,12.058,13.055,60.200,15.508,11.222,5.130,30.759
Fonsorbes,26.890,17.976,28.117,401.061,11.187,14.275,8.733,0.000,36.850,7.353,24.012,4.572,12.964,7.172,14.755,4.984,23.921,24.918,60.855,27.364,18.366,7.904,42.615
Fronton,23.370,22.687,30.863,403.709,25.671,22.172,29.086,34.941,0.000,32.348,20.492,32.062,35.735,29.434,32.850,28.535,29.560,27.859,83.626,27.295,22.081,26.653,45.270
Frouzins,19.363,16.923,18.213,391.149,11.856,14.525,3.276,7.374,33.477,0.000,20.645,10.274,6.552,10.162,7.500,4.809,12.232,15.006,54.004,17.460,14.992,7.653,32.710
L'Union,5.646,10.169,13.138,385.985,13.145,16.156,16.568,22.416,20.387,19.830,0.000,19.544,23.217,16.909,20.331,16.010,15.885,10.134,71.108,9.577,9.556,14.128,27.545
Lèguevin,23.092,14.177,24.325,397.262,7.395,7.995,9.842,4.572,33.052,10.260,20.220,0.000,26.305,2.593,23.419,5.890,20.122,21.119,74.196,23.573,14.574,8.908,38.823
Muret,21.921,19.481,20.771,393.707,19.732,25.468,12.065,10.817,36.035,5.548,23.196,26.131,0.000,23.496,5.722,10.260,16.568,17.564,50.853,20.018,17.550,14.846,35.268
Pibrac,20.589,11.675,21.823,394.760,4.893,5.451,13.187,7.151,30.550,10.211,17.718,2.579,23.796,0.000,20.917,5.388,17.620,18.617,71.693,21.063,12.065,10.755,36.321
Pins-Justaret,19.432,16.993,10.288,391.219,17.244,22.980,9.577,14.895,33.547,7.611,20.708,23.642,5.771,21.008,0.000,12.323,7.569,15.076,59.545,17.523,15.062,12.358,32.780
Plaisance-du-Touch,19.363,10.448,20.596,393.533,5.841,9.765,4.579,4.349,29.323,4.865,16.491,5.918,11.326,5.402,12.274,0.000,16.393,17.390,58.778,19.844,10.845,3.060,35.094
Portet-sur-Garonne,12.943,12.922,6.308,384.730,13.173,18.903,11.619,22.443,29.476,11.577,16.101,19.565,16.603,16.937,6.928,16.038,0.000,5.123,64.493,11.040,10.992,14.156,26.291
Ramonville-Saint-Agne,7.660,13.006,3.360,379.398,13.264,18.993,11.710,22.534,28.898,13.306,10.810,19.655,16.693,17.028,10.664,16.129,5.241,0.000,64.584,5.060,11.075,14.247,20.959
Saint-Gaudens,70.627,68.188,69.477,442.414,68.438,74.175,60.771,59.977,84.741,54.708,71.903,74.837,50.965,72.202,59.454,59.419,65.274,66.271,0.000,68.717,66.257,63.552,83.975
Saint-Orens-de-Gameville,6.440,17.460,5.346,381.113,16.833,23.440,15.278,26.103,27.678,16.881,9.591,23.224,20.262,20.596,17.383,19.697,11.006,5.255,68.160,0.000,8.873,17.815,22.673
Toulouse,5.283,7.451,10.971,383.908,8.455,13.431,10.608,17.725,22.827,12.211,9.995,14.846,15.592,12.218,12.713,11.319,6.085,7.765,63.490,10.211,0.000,9.437,25.468
Tournefeuille,16.860,7.946,18.094,391.031,4.161,13.933,6.287,7.200,26.821,7.681,13.989,8.775,16.156,7.925,13.271,2.858,13.891,14.888,64.047,17.334,8.336,0.000,32.592
Villefranche de Lauragais,24.172,32.090,23.607,362.370,32.348,38.077,30.793,41.618,45.410,32.390,27.329,38.739,35.777,36.112,32.891,35.212,26.514,20.840,83.668,22.269,30.159,33.331,0.000
