,Balma,Blagnac,Castanet-Tolosan,Clinique Saint-Jean,Colomiers,Cornebarrieu,Cugnaux,Fonsorbes,Fronton,Frouzins,L'Union,Lèguevin,Muret,Pibrac,Pins-Justaret,Plaisance-du-Touch,Portet-sur-Garonne,Ramonville-Saint-Agne,Saint-Gaudens,Saint-Orens-de-Gameville,Toulouse,Tournefeuille,Villefranche de Lauragais
Balma,0.000,12.761,9.569,365.298,15.601,18.467,16.266,24.445,22.510,17.789,5.254,21.699,21.021,19.192,18.268,18.334,12.183,6.703,66.713,6.165,5.619,16.539,23.315
Blagnac,13.559,0.000,16.851,372.666,7.002,7.042,10.261,15.847,23.062,15.508,10.820,13.101,18.740,10.593,15.987,9.736,12.841,13.792,64.432,16.133,7.149,7.940,30.683
Castanet-Tolosan,9.257,17.130,0.000,364.320,17.370,22.843,15.893,26.214,29.519,13.932,12.269,23.474,20.648,20.961,9.496,20.103,4.981,3.272,66.340,5.114,15.288,18.314,22.331
Clinique Saint-Jean,364.992,372.546,364.453,0.000,372.786,378.259,371.303,381.630,385.254,372.832,367.998,378.890,376.064,376.377,373.311,375.519,367.226,361.807,421.756,363.170,370.704,373.723,345.195
Colomiers,15.774,7.268,16.951,372.766,0.000,4.602,8.718,9.490,25.283,11.445,13.034,6.743,18.839,4.236,16.086,6.723,12.941,13.892,64.532,16.233,7.648,6.397,30.783
Cornebarrieu,17.217,5.360,20.509,376.324,5.220,0.000,13.918,12.110,21.187,14.071,14.477,7.581,22.397,5.167,19.644,9.244,16.499,17.450,68.089,19.790,10.806,11.598,34.341
Cugnaux,16.612,10.334,15.514,371.329,9.064,16.046,0.000,7.914,28.342,3.152,16.093,9.416,11.744,12.655,8.991,4.203,11.505,12.455,57.436,14.796,10.707,4.894,29.346
Fonsorbes,25.656,17.150,26.826,382.648,10.673,13.619,8.332,0.000,35.159,7.016,22.909,4.362,12.369,6.843,14.078,4.755,22.823,23.774,58.061,26.108,17.523,7.541,40.658
Fronton,22.297,21.646,29.446,385.175,24.492,21.154,27.750,33.336,0.000,30.863,19.551,30.590,34.095,28.083,31.341,27.225,28.203,26.580,79.787,26.041,21.067,25.430,43.192
Frouzins,18.474,16.146,17.376,373.191,11.312,13.859,3.126,7.036,31.940,0.000,19.697,9.802,6.251,9.696,7.155,4.589,11.671,14.317,51.524,16.658,14.304,7.302,31.208
L'Union,5.386,9.702,12.535,368.264,12.542,15.415,15.807,21.386,19.451,18.919,0.000,18.647,22.151,16.133,19.398,15.275,15.155,9.669,67.843,9.137,9.117,13.480,26.281
Lèguevin,22.031,13.526,23.209,379.023,7.056,7.628,9.390,4.362,31.534,9.789,19.292,0.000,25.097,2.474,22.344,5.619,19.199,20.150,70.789,22.490,13.905,8.499,37.041
Muret,20.914,18.587,19.817,375.632,18.826,24.299,11.511,10.321,34.381,5.293,22.131,24.931,0.000,22.417,5.460,9.789,15.807,16.758,48.518,19.099,16.745,14.165,33.649
Pibrac,19.644,11.139,20.821,376.636,4.668,5.200,12.582,6.823,29.147,9.742,16.904,2.461,22.703,0.000,19.957,5.140,16.811,17.762,68.402,20.096,11.511,10.261,34.653
Pins-Justaret,18.540,16.213,9.815,373.258,16.452,21.925,9.137,14.211,32.006,7.262,19.757,22.557,5.506,20.043,0.000,11.757,7.222,14.384,56.811,16.718,14.371,11.790,31.275
Plaisance-du-Touch,18.474,9.968,19.651,375.466,5.573,9.317,4.369,4.150,27.977,4.642,15.734,5.646,10.806,5.154,11.711,0.000,15.641,16.592,56.079,18.933,10.347,2.919,33.483
Portet-sur-Garonne,12.349,12.329,6.018,367.067,12.569,18.035,11.086,21.413,28.123,11.046,15.362,18.667,15.840,16.160,6.610,15.302,0.000,4.888,61.532,10.534,10.487,13.506,25.084
Ramonville-Saint-Agne,7.308,12.409,3.205,361.979,12.655,18.121,11.172,21.499,27.571,12.695,10.314,18.753,15.927,16.246,10.175,15.388,5.001,0.000,61.619,4.828,10.567,13.593,19.997
Saint-Gaudens,67.384,65.057,66.287,422.102,65.296,70.769,57.981,57.223,80.851,52.196,68.601,71.401,48.625,68.887,56.724,56.691,62.277,63.228,0.000,65.562,63.215,60.635,80.119
Saint-Orens-de-Gameville,6.145,16.658,5.101,363.615,16.060,22.364,14.577,24.904,26.407,16.106,9.150,22.158,19.332,19.651,16.585,18.793,10.500,5.014,65.030,0.000,8.465,16.997,21.632
Toulouse,5.041,7.109,10.467,366.282,8.066,12.815,10.121,16.911,21.779,11.651,9.536,14.165,14.876,11.657,12.130,10.800,5.805,7.408,60.575,9.742,0.000,9.004,24.299
Tournefeuille,16.086,7.581,17.263,373.078,3.970,13.293,5.998,6.869,25.589,7.328,13.347,8.372,15.415,7.561,12.662,2.726,13.253,14.204,61.107,16.539,7.953,0.000,31.095
Villefranche de Lauragais,23.062,30.617,22.524,345.733,30.863,36.329,29.380,39.707,43.325,30.903,26.075,36.961,34.134,34.454,31.381,33.596,25.297,19.884,79.827,21.247,28.775,31.800,0.000
