id;date;enfant_id;type_demande;heure_depart;lieu_depart;lieu_arrivee;distance_km;duree_estimee;cout_taxi_estime
TRA_0001;01/01/2024;ENF_061;Rendez-vous médical;12:15;Pins-Justaret;Balma;48;180;35
TRA_0002;01/01/2024;ENF_040;Consultation spécialisée;13:15;Tournefeuille;Plaisance-du-Touch;31;60;73
TRA_0003;01/01/2024;ENF_009;Consultation psychologique;11:30;Pibrac;Portet-sur-Garonne;32;15;57
TRA_0004;01/01/2024;ENF_040;Réunion éducative;12:45;Tournefeuille;Plaisance-du-Touch;25;90;33
TRA_0005;01/01/2024;ENF_092;Visite familiale encadrée;12:45;Muret;Muret;9;15;73
TRA_0006;01/01/2024;ENF_014;Audience tribunal;15:45;Blagnac;Portet-sur-Garonne;23;60;71
TRA_0007;01/01/2024;ENF_178;Consultation psychologique;14:15;L'Union;Cugnaux;34;120;36
TRA_0008;01/01/2024;ENF_143;Consultation psychologique;19:15;Plaisance-du-Touch;Plaisance-du-Touch;41;15;44
TRA_0009;01/01/2024;ENF_101;Consultation spécialisée;15:30;Toulouse;Balma;24;90;56
TRA_0010;01/01/2024;ENF_027;Visite éducative;09:00;Lèguevin;Colomiers;33;30;25
TRA_0011;01/01/2024;ENF_089;Audience tribunal;15:00;Fonsorbes;Portet-sur-Garonne;30;30;29
TRA_0012;01/01/2024;ENF_149;Consultation spécialisée;10:00;Muret;Blagnac;30;120;39
TRA_0013;01/01/2024;ENF_018;Visite éducative;16:00;Pins-Justaret;Balma;24;60;51
TRA_0014;01/01/2024;ENF_184;Audience tribunal;19:15;Ramonville-Saint-Agne;Muret;34;60;47
TRA_0015;01/01/2024;ENF_075;Transport scolaire;17:30;Frouzins;Toulouse;31;60;33
TRA_0016;01/01/2024;ENF_107;Transport d'urgence;18:30;Pibrac;Castanet-Tolosan;34;90;22
TRA_0017;01/01/2024;ENF_121;Formation professionnelle;17:45;Frouzins;Cugnaux;9;45;54
TRA_0018;02/01/2024;ENF_132;Formation professionnelle;16:30;Saint-Orens-de-Gameville;Muret;28;180;74
TRA_0019;02/01/2024;ENF_022;Loisirs encadrés;08:45;Portet-sur-Garonne;Pibrac;30;30;57
TRA_0020;02/01/2024;ENF_161;Consultation psychologique;10:45;Blagnac;Pins-Justaret;36;30;77
TRA_0021;02/01/2024;ENF_001;Transport d'urgence;11:15;L'Union;Ramonville-Saint-Agne;23;180;70
TRA_0022;02/01/2024;ENF_134;Rendez-vous médical;12:15;Ramonville-Saint-Agne;Toulouse;49;30;61
TRA_0023;02/01/2024;ENF_184;Audience tribunal;10:15;Ramonville-Saint-Agne;Muret;49;15;50
TRA_0024;02/01/2024;ENF_035;Transport scolaire;13:15;Colomiers;Saint-Gaudens;21;30;75
TRA_0025;02/01/2024;ENF_047;Transport scolaire;15:15;Muret;Toulouse;8;180;66
TRA_0026;02/01/2024;ENF_001;Consultation psychologique;19:15;L'Union;Plaisance-du-Touch;7;15;77
TRA_0027;02/01/2024;ENF_131;Activité thérapeutique;16:00;Saint-Orens-de-Gameville;Saint-Orens-de-Gameville;34;15;45
TRA_0028;02/01/2024;ENF_093;Audience tribunal;17:15;Toulouse;Ramonville-Saint-Agne;17;60;37
TRA_0029;02/01/2024;ENF_115;Transport scolaire;09:00;Saint-Orens-de-Gameville;Villefranche de Lauragais;45;120;47
TRA_0030;02/01/2024;ENF_132;Réunion éducative;12:30;Saint-Orens-de-Gameville;Portet-sur-Garonne;24;30;31
TRA_0031;02/01/2024;ENF_040;Loisirs encadrés;08:30;Tournefeuille;Toulouse;46;90;64
TRA_0032;02/01/2024;ENF_130;Rendez-vous médical;17:30;Toulouse;Balma;28;30;56
TRA_0033;02/01/2024;ENF_152;Visite éducative;10:45;Tournefeuille;L'Union;21;180;56
TRA_0034;02/01/2024;ENF_131;Activité thérapeutique;18:00;Saint-Orens-de-Gameville;Castanet-Tolosan;35;30;47
TRA_0035;02/01/2024;ENF_155;Visite éducative;15:30;Castanet-Tolosan;Lèguevin;36;15;65
TRA_0036;02/01/2024;ENF_001;Transport scolaire;12:15;L'Union;Saint-Gaudens;36;60;24
TRA_0037;03/01/2024;ENF_155;Consultation psychologique;13:00;Castanet-Tolosan;Saint-Orens-de-Gameville;11;15;41
TRA_0038;03/01/2024;ENF_034;Réunion éducative;09:15;Ramonville-Saint-Agne;Colomiers;26;180;71
TRA_0039;03/01/2024;ENF_125;Visite familiale encadrée;18:15;Pins-Justaret;Colomiers;49;180;46
TRA_0040;03/01/2024;ENF_136;Consultation spécialisée;10:00;L'Union;Cugnaux;40;60;74
TRA_0041;03/01/2024;ENF_085;Consultation spécialisée;16:15;Frouzins;Plaisance-du-Touch;47;90;63
TRA_0042;03/01/2024;ENF_033;Visite éducative;09:00;Pibrac;Pins-Justaret;34;15;43
TRA_0043;03/01/2024;ENF_191;Réunion éducative;13:15;Saint-Orens-de-Gameville;Saint-Gaudens;24;90;28
TRA_0044;03/01/2024;ENF_193;Réunion éducative;15:45;Colomiers;Toulouse;49;30;20
TRA_0045;03/01/2024;ENF_149;Formation professionnelle;11:15;Muret;Cornebarrieu;23;180;78
TRA_0046;03/01/2024;ENF_057;Consultation psychologique;11:00;Blagnac;Fonsorbes;30;45;32
TRA_0047;03/01/2024;ENF_070;Visite éducative;19:15;Cugnaux;Pins-Justaret;7;45;56
