,Balma,Blagnac,Castanet-Tolosan,Clinique Saint-Jean,Colomiers,Cornebarrieu,Cugnaux,Fonsorbes,Fronton,Frouzins,L'Union,Lèguevin,Muret,Pibrac,Pins-Justaret,Plaisance-du-Touch,Portet-sur-Garonne,Ramonville-Saint-Agne,Saint-Gaudens,Saint-Orens-de-Gameville,Toulouse,Tournefeuille,Villefranche de Lauragais
Balma,0.000,19.190,14.390,549.320,23.460,27.770,24.460,36.760,33.850,26.750,7.900,32.630,31.610,28.860,27.470,27.570,18.320,10.080,100.320,9.270,8.450,24.870,35.060
Blagnac,20.390,0.000,25.340,560.400,10.530,10.590,15.430,23.830,34.680,23.320,16.270,19.700,28.180,15.930,24.040,14.640,19.310,20.740,96.890,24.260,10.750,11.940,46.140
Castanet-Tolosan,13.920,25.760,0.000,547.850,26.120,34.350,23.900,39.420,44.390,20.950,18.450,35.300,31.050,31.520,14.280,30.230,7.490,4.920,99.760,7.690,22.990,27.540,33.580
Clinique Saint-Jean,548.860,560.220,548.050,0.000,560.580,568.810,558.350,573.880,579.330,560.650,553.380,569.760,565.510,565.980,561.370,564.690,552.220,544.070,634.220,546.120,557.450,561.990,519.090
Colomiers,23.720,10.930,25.490,560.550,0.000,6.920,13.110,14.270,38.020,17.210,19.600,10.140,28.330,6.370,24.190,10.110,19.460,20.890,97.040,24.410,11.500,9.620,46.290
Cornebarrieu,25.890,8.060,30.840,565.900,7.850,0.000,20.930,18.210,31.860,21.160,21.770,11.400,33.680,7.770,29.540,13.900,24.810,26.240,102.390,29.760,16.250,17.440,51.640
Cugnaux,24.980,15.540,23.330,558.390,13.630,24.130,0.000,11.900,42.620,4.740,24.200,14.160,17.660,19.030,13.520,6.320,17.300,18.730,86.370,22.250,16.100,7.360,44.130
Fonsorbes,38.580,25.790,40.340,575.410,16.050,20.480,12.530,0.000,52.870,10.550,34.450,6.560,18.600,10.290,21.170,7.150,34.320,35.750,87.310,39.260,26.350,11.340,61.140
Fronton,33.530,32.550,44.280,579.210,36.830,31.810,41.730,50.130,0.000,46.410,29.400,46.000,51.270,42.230,47.130,40.940,42.410,39.970,119.980,39.160,31.680,38.240,64.950
Frouzins,27.780,24.280,26.130,561.190,17.010,20.840,4.700,10.580,48.030,0.000,29.620,14.740,9.400,14.580,10.760,6.900,17.550,21.530,77.480,25.050,21.510,10.980,46.930
L'Union,8.100,14.590,18.850,553.780,18.860,23.180,23.770,32.160,29.250,28.450,0.000,28.040,33.310,24.260,29.170,22.970,22.790,14.540,102.020,13.740,13.710,20.270,39.520
Lèguevin,33.130,20.340,34.900,569.960,10.610,11.470,14.120,6.560,47.420,14.720,29.010,0.000,37.740,3.720,33.600,8.450,28.870,30.300,106.450,33.820,20.910,12.780,55.700
Muret,31.450,27.950,29.800,564.860,28.310,36.540,17.310,15.520,51.700,7.960,33.280,37.490,0.000,33.710,8.210,14.720,23.770,25.200,72.960,28.720,25.180,21.300,50.600
Pibrac,29.540,16.750,31.310,566.370,7.020,7.820,18.920,10.260,43.830,14.650,25.420,3.700,34.140,0.000,30.010,7.730,25.280,26.710,102.860,30.220,17.310,15.430,52.110
Pins-Justaret,27.880,24.380,14.760,561.290,24.740,32.970,13.740,21.370,48.130,10.920,29.710,33.920,8.280,30.140,0.000,17.680,10.860,21.630,85.430,25.140,21.610,17.730,47.030
Plaisance-du-Touch,27.780,14.990,29.550,564.610,8.380,14.010,6.570,6.240,42.070,6.980,23.660,8.490,16.250,7.750,17.610,0.000,23.520,24.950,84.330,28.470,15.560,4.390,50.350
Portet-sur-Garonne,18.570,18.540,9.050,551.980,18.900,27.120,16.670,32.200,42.290,16.610,23.100,28.070,23.820,24.300,9.940,23.010,0.000,7.350,92.530,15.840,15.770,20.310,37.720
Ramonville-Saint-Agne,10.990,18.660,4.820,544.330,19.030,27.250,16.800,32.330,41.460,19.090,15.510,28.200,23.950,24.430,15.300,23.140,7.520,0.000,92.660,7.260,15.890,20.440,30.070
Saint-Gaudens,101.330,97.830,99.680,634.740,98.190,106.420,87.190,86.050,121.580,78.490,103.160,107.370,73.120,103.590,85.300,85.250,93.650,95.080,0.000,98.590,95.060,91.180,120.480
Saint-Orens-de-Gameville,9.240,25.050,7.670,546.790,24.150,33.630,21.920,37.450,39.710,24.220,13.760,33.320,29.070,29.550,24.940,28.260,15.790,7.540,97.790,0.000,12.730,25.560,32.530
Toulouse,7.580,10.690,15.740,550.800,12.130,19.270,15.220,25.430,32.750,17.520,14.340,21.300,22.370,17.530,18.240,16.240,8.730,11.140,91.090,14.650,0.000,13.540,36.540
Tournefeuille,24.190,11.400,25.960,561.020,5.970,19.990,9.020,10.330,38.480,11.020,20.070,12.590,23.180,11.370,19.040,4.100,19.930,21.360,91.890,24.870,11.960,0.000,46.760
Villefranche de Lauragais,34.680,46.040,33.870,519.900,46.410,54.630,44.180,59.710,65.150,46.470,39.210,55.580,51.330,51.810,47.190,50.520,38.040,29.900,120.040,31.950,43.270,47.820,0.000
